1	-298.53988969497084 -298.5490128536256 -298.55813634768583 -298.56726017703556 -298.53988969497084 -298.5490128536256 -298.55813634768583 -298.56726017703556 -298.49427893684054 -298.53988969497084 -298.49427893684054 -298.53988969497084 -297.81196829492035 -298.4439482117858 -297.81196829492035 -298.4439482117858
2	-303.3821864963393 -303.3907592371879 -303.39933249105906 -303.407906257799 -303.3821864963393 -303.3907592371879 -303.39933249105906 -303.407906257799 -303.33933049281654 -303.3821864963393 -303.33933049281654 -303.3821864963393 -302.66803515758806 -303.51812661135364 -302.66803515758806 -303.51812661135364
3	-295.1127215224426 -295.1226941729173 -295.13266683482726 -295.14263950816786 -295.1127215224426 -295.1226941729173 -295.13266683482726 -295.14263950816786 -295.0628584417661 -295.1127215224426 -295.0628584417661 -295.1127215224426 -294.3634089910459 -294.40979069118896 -294.3634089910459 -294.40979069118896
4	-302.44436968267 -302.4533943150456 -302.4624193164869 -302.4714446868692 -302.44436968267 -302.4533943150456 -302.4624193164869 -302.4714446868692 -302.39925206113736 -302.44436968267 -302.39925206113736 -302.44436968267 -301.7188741845809 -302.39304588672786 -301.7188741845809 -302.39304588672786
5	-297.8096098080257 -297.81883697762004 -297.82806444620303 -297.8372922136686 -297.8096098080257 -297.81883697762004 -297.82806444620303 -297.8372922136686 -297.76347844859583 -297.8096098080257 -297.76347844859583 -297.8096098080257 -297.07902805011986 -297.6588552174154 -297.07902805011986 -297.6588552174154
6	-304.57076998130304 -304.5793249544791 -304.5878804459881 -304.5964364556755 -304.57076998130304 -304.5793249544791 -304.5878804459881 -304.5964364556755 -304.52800289582746 -304.57076998130304 -304.52800289582746 -304.57076998130304 -303.8570645626291 -304.7132719072549 -303.8570645626291 -304.7132719072549
7	-301.10461874894787 -301.11461853145727 -301.12461831405784 -301.1346180967496 -301.10461874894787 -301.11461853145727 -301.12461831405784 -301.1346180967496 -301.0546198377698 -301.10461874894787 -301.0546198377698 -301.10461874894787 -300.3546242213924 -300.35539646216074 -300.3546242213924 -300.35539646216074
8	-301.28330886901233 -301.29231111436746 -301.301313736323 -301.3103167347524 -301.28330886901233 -301.29231111436746 -301.301313736323 -301.3103167347524 -301.23830329566795 -301.28330886901233 -301.23830329566795 -301.28330886901233 -300.55837842672634 -301.2425192811246 -300.55837842672634 -301.2425192811246
9	-300.10791283318804 -300.10791283318935 -300.10791283319054 -300.10791283319185 -300.10791283318804 -300.10791283318935 -300.10791283319054 -300.10791283319185 -300.10791283318184 -300.10791283318804 -300.10791283318184 -300.10791283318804 -299.6090517592452 -299.64900470386834 -299.6090517592452 -299.64900470386834
10	-309.3972565476535 -309.39841733745646 -309.39957855760355 -309.4007402082335 -309.3972565476535 -309.39841733745646 -309.39957855760355 -309.4007402082335 -309.39145904895383 -309.3972565476535 -309.39145904895383 -309.3972565476535 -308.8683762597081 -309.61116045094445 -308.8683762597081 -309.61116045094445
11	-301.124576207868 -301.1262126263334 -301.12784961881863 -301.1294871854857 -301.124576207868 -301.1262126263334 -301.12784961881863 -301.1294871854857 -301.1164027201727 -301.124576207868 -301.1164027201727 -301.124576207868 -300.5838518294182 -301.49352647650124 -300.5838518294182 -301.49352647650124
12	-307.23593421668755 -307.23600391638837 -307.2360736451202 -307.236143402895 -307.23593421668755 -307.23600391638837 -307.2360736451202 -307.236143402895 -307.2355861532288 -307.23593421668755 -307.2355861532288 -307.23593421668755 -306.73421962322055 -306.8320154485549 -306.73421962322055 -306.8320154485549
13	-304.8794016424734 -304.87940164247465 -304.8794016424759 -304.87940164247715 -304.8794016424734 -304.87940164247465 -304.8794016424759 -304.87940164247715 -304.8794016424672 -304.8794016424734 -304.8794016424672 -304.8794016424734 -304.379401677182 -304.3794064579866 -304.379401677182 -304.3794064579866
