1	-297.8897607973415
2	-292.42711710145187
3	-294.7873955713736
4	-300.7369894653072
5	-301.5985041950707
6	-302.49066947846165
7	-306.2024915940511
8	-306.4586998049937
9	-304.14428179576623
10	-309.79445049018057
11	-291.7557823590246
12	-298.5137518489068
13	-304.0886177533723
14	-305.97371499200244
15	-301.8746460052344
16	-305.50444204655855
17	-299.258053426044
18	-305.1201660105677
19	-306.47693569478906
20	-305.2198000000001
21	-297.729462205814
22	-300.43733324522424
23	-297.66227759203514
24	-303.79577321082525
25	-305.97926094756383
26	-298.1421315401171
27	-300.6304263163664
28	-302.4426503465657
29	-299.2243141658789
30	-309.6168044088764
31	-300.64850290202276
32	-298.74092737591263
33	-300.99837575300404
34	-299.227980078619
35	-301.11489274402345
36	-302.68480819922985
37	-309.05132520134504
38	-308.29035062060353
39	-310.6011536080349
40	-308.8932935536633
41	-308.87367908562317
42	-307.19626789870154
43	-314.7331465163408
44	-305.53516481447326
45	-312.47296413599156
46	-311.06840898725915
47	-308.1418734284775
48	-303.4953668686211
49	-305.90340659725655
50	-302.1491309133019
51	-300.0791261770004
52	-305.66206131535864
53	-304.76548043727627
54	-305.69727760117223
55	-305.60468668998925
56	-309.5518536836013
57	-305.60834637053506
58	-300.3597539179504
59	-306.4599814235694
60	-302.0157960337833
61	-304.06011867709077
62	-296.7894139556985
63	-301.58209571327194
64	-300.26652374109284
65	-310.09700750236874
66	-304.480272651759
67	-304.7820696398804
68	-298.9907336713373
69	-303.2537795407703
70	-299.708966025974
71	-306.50524636881124
72	-304.67823605238584
73	-309.72410623594584
74	-309.80431716984367
75	-308.22122518657926
76	-298.7913093886067
77	-297.3639045537731
78	-301.6616307918925
79	-309.07912744306645
80	-307.12241571802844
81	-304.84099216858857
82	-300.14602011766027
83	-305.2161184942644
84	-310.9596795653397
85	-314.02855473462506
86	-308.0998428120671
87	-313.5211928949476
88	-304.02622390595656
89	-304.8433770162933
90	-307.8858115300719
91	-303.24397290299794
92	-306.8191789283846
93	-308.74273675201397
94	-307.482487265823
95	-304.567439488783
96	-308.03338211088777
97	-305.3793574172913
98	-306.4857824772034
99	-296.0854636284962
100	-298.0013042786383
101	-302.3284200458017
102	-301.96368717507687
103	-305.72126047857256
104	-307.4356438251616
105	-305.317205930534
106	-299.34434275440776
107	-306.73561019508406
108	-302.609527993057
109	-303.8394030259634
110	-305.90402103521353
111	-300.2186332513826
112	-303.15917736739283
113	-307.91454187777606
114	-306.7506007141348
115	-308.5052525286987
116	-315.1116728656552
117	-309.43200601694963
118	-306.0906237567149
119	-310.5778468479987
120	-310.0502139964741
121	-312.196760403165
122	-308.75909288107596
123	-312.87417330661384
124	-305.08832322637517
125	-310.6498242126868
126	-307.1084264004421
127	-304.5879246446989
128	-304.80479990673746
129	-301.33567618966674
130	-302.6104972934373
131	-311.16987599873073
132	-311.2224898519882
133	-309.47862126211044
134	-306.53024407131437
135	-308.2893299101801
136	-310.1046241898649
137	-306.260814989897
138	-305.77832391492535
139	-310.73133697427517
140	-303.4368701818669
141	-304.9028264646444
142	-305.6589075299782
143	-304.62877300326306
144	-305.7993289238473
145	-298.8753368338275
146	-306.8181299818957
147	-311.3084895597017
148	-305.5754566511797
149	-303.3518819534939
150	-309.00577395775684
151	-307.55057567898683
152	-309.26693263061316
153	-308.8804415434114
154	-309.78630515953046
155	-305.323087890247
156	-302.03820928757824
157	-300.60209149461923
158	-307.2161409812902
159	-299.12022224492466
160	-307.49526758030544
161	-301.00720485822035
162	-303.5417986856569
163	-300.14078389071466
164	-311.551074309477
165	-306.14348175803076
166	-303.3050316358451
167	-302.689717651765
168	-307.13026120542304
169	-309.01590910242027
170	-301.06151212394286
171	-305.7470498749618
172	-297.97811294474707
173	-301.8606561830006
174	-305.859288902266
175	-304.8550588707495
176	-307.5905128476587
177	-304.9388893310756
178	-306.69772620488646
179	-292.05756637344456
180	-306.53355828037724
181	-294.3840826625577
182	-300.3994964468657
183	-304.89598976190194
184	-301.74229437286226
185	-305.25872164547616
186	-310.2542389699736
187	-300.3167319222936
188	-308.1956200426433
189	-308.6932154591559
190	-310.3000773076524
191	-307.4258003933538
192	-305.7804537945713
193	-307.2833387882264
194	-307.71140361098156
195	-300.6352520174736
196	-306.40595943996436
197	-304.6150715850225
198	-304.89325687896576
199	-308.12824066278614
200	-303.62903899419894
201	-299.5167890088044
202	-303.4643948683867
203	-305.73707884108103
204	-306.80606094989446
205	-308.18663757457364
206	-304.4646127209365
207	-303.8426959333413
208	-309.0058710693169
209	-302.6220771212634
210	-296.6122908116475
211	-310.96211904568025
212	-306.31880045517727
213	-305.99079799810755
214	-306.19934814412005
215	-310.0778013032691
216	-305.32103752657406
217	-304.22091011107574
218	-309.1728446269885
219	-309.51633266105125
220	-305.840247819987
221	-306.3873834676278
222	-310.3988249532623
223	-310.4364368756125
224	-307.58018514955097
225	-305.9235011845881
226	-307.21618534603897
227	-307.74377124640205
228	-309.05553201767844
229	-311.9750774318449
230	-308.15835200991063
231	-311.2878087767394
232	-311.14298167323307
233	-305.1620340106471
234	-310.0220575223711
235	-303.35891639571736
236	-303.2746956942394
237	-302.46020468179137
238	-308.3811407909425
239	-307.99498630545963
240	-310.6069001582452
241	-308.40841625224056
242	-305.52835253841266
243	-302.80654614336623
244	-304.6467193218225
245	-309.3553726588619
246	-310.5440923665749
247	-309.1557568505651
248	-314.18297043654434
249	-298.8312247377287
250	-305.3540223022696
251	-304.5411727263462
252	-302.3274750603671
253	-308.0561744616221
254	-308.93879170455057
255	-311.2498065419618
256	-304.0438229823814
